review_id,product_id,rating,comment,review_date
1,FUR-BO-10001798,4,Нормально,2026-01-23
2,FUR-BO-10001798,1,Плохой,2026-02-12
3,FUR-BO-10001798,5,Плохой,2026-02-09
4,FUR-BO-10001798,5,Ужасный,2026-02-25
5,FUR-CH-10000454,3,Не понравился,2026-03-05
6,FUR-CH-10000454,1,Хороший,2026-01-17
7,FUR-CH-10000454,3,Не понравился,2026-01-23
8,FUR-CH-10000454,1,Ужасный,2026-01-28
9,FUR-CH-10000454,2,Не понравился,2026-01-09
10,OFF-ST-10000760,2,Хороший,2026-02-22
11,OFF-ST-10000760,3,Отличный товар,2026-01-28
12,OFF-ST-10000760,2,Отличный товар,2026-01-12
13,OFF-ST-10000760,4,Нормально,2026-01-11
14,OFF-ST-10000760,2,Отличный товар,2026-02-16
15,FUR-FU-10001487,3,Не понравился,2026-03-07
16,FUR-FU-10001487,1,Плохой,2026-03-09
17,FUR-FU-10001487,2,Отличный товар,2026-02-16
18,FUR-FU-10001487,2,Нормально,2026-01-22
19,OFF-AR-10002833,3,Рекомендую,2026-02-03
20,OFF-AR-10002833,4,Отличный товар,2026-02-09
21,OFF-BI-10003910,1,Ужасный,2026-02-03
22,OFF-BI-10003910,1,Не понравился,2026-02-12
23,OFF-BI-10003910,3,Рекомендую,2026-02-20
24,OFF-BI-10003910,2,Ужасный,2026-02-20
25,OFF-AP-10002892,5,Хороший,2026-02-25
26,OFF-AP-10002892,4,Не понравился,2026-02-11
27,OFF-AP-10002892,4,Хороший,2026-01-15
28,OFF-AP-10002892,4,Рекомендую,2026-03-04
29,OFF-AP-10002892,2,Не понравился,2026-03-05
30,FUR-TA-10001539,3,Рекомендую,2026-02-20
31,FUR-TA-10001539,4,Ужасный,2026-03-01
32,FUR-TA-10001539,3,Не понравился,2026-01-31
33,FUR-TA-10001539,3,Ужасный,2026-01-18
34,TEC-PH-10002033,4,Хороший,2026-03-01
35,TEC-PH-10002033,5,Отличный товар,2026-03-06
36,OFF-PA-10002365,5,Ужасный,2026-01-22
37,OFF-BI-10003656,5,Хороший,2026-01-08
38,OFF-BI-10003656,5,Хороший,2026-03-01
39,OFF-BI-10003656,5,Плохой,2026-01-31
40,OFF-BI-10003656,1,Хороший,2026-03-04
41,OFF-BI-10003656,3,Рекомендую,2026-02-26
42,OFF-AP-10002311,3,Отличный товар,2026-02-24
43,OFF-AP-10002311,3,Ужасный,2026-02-26
44,OFF-BI-10000756,4,Нормально,2026-03-06
45,OFF-BI-10000756,3,Плохой,2026-02-22
46,OFF-BI-10000756,3,Не понравился,2026-02-19
47,OFF-BI-10000756,4,Нормально,2026-01-10
48,OFF-BI-10000756,2,Ужасный,2026-01-08
49,OFF-ST-10004186,4,Отличный товар,2026-01-30
50,OFF-ST-10004186,1,Хороший,2026-02-28
51,OFF-ST-10004186,2,Плохой,2026-02-05
52,OFF-ST-10004186,5,Не понравился,2026-02-09
53,OFF-ST-10004186,3,Рекомендую,2026-02-11
54,OFF-ST-10000107,2,Ужасный,2026-02-20
55,OFF-ST-10000107,5,Рекомендую,2026-03-07
56,OFF-ST-10000107,3,Плохой,2026-01-14
57,TEC-PH-10001949,3,Нормально,2026-02-11
58,TEC-PH-10001949,3,Хороший,2026-02-17
59,TEC-PH-10001949,5,Отличный товар,2026-02-21
60,TEC-PH-10001949,2,Ужасный,2026-03-06
61,TEC-PH-10001949,4,Ужасный,2026-02-27
62,OFF-BI-10002215,5,Хороший,2026-02-18
63,OFF-BI-10002215,2,Отличный товар,2026-01-31
64,OFF-BI-10002215,2,Плохой,2026-01-22
65,OFF-AR-10000246,5,Ужасный,2026-02-14
66,OFF-AP-10001492,4,Ужасный,2026-02-13
67,OFF-BI-10001634,2,Отличный товар,2026-01-31
68,OFF-BI-10001634,1,Рекомендую,2026-03-08
69,OFF-BI-10001634,1,Хороший,2026-01-28
70,OFF-BI-10001634,4,Нормально,2026-01-10
71,OFF-BI-10000474,2,Не понравился,2026-01-14
72,OFF-BI-10000474,2,Ужасный,2026-01-09
73,OFF-BI-10000474,4,Хороший,2026-02-09
74,FUR-FU-10004848,3,Ужасный,2026-02-19
75,FUR-FU-10004848,3,Хороший,2026-02-21
76,FUR-FU-10004848,2,Не понравился,2026-01-25
77,FUR-FU-10004848,1,Рекомендую,2026-02-27
78,OFF-EN-10001509,4,Рекомендую,2026-01-08
79,OFF-EN-10001509,1,Рекомендую,2026-01-23
80,OFF-AR-10004042,2,Рекомендую,2026-01-16
81,OFF-BI-10001525,4,Рекомендую,2026-02-22
82,OFF-BI-10001525,4,Хороший,2026-01-12
83,OFF-AR-10001683,3,Не понравился,2026-03-03
84,OFF-AR-10001683,1,Хороший,2026-01-31
85,OFF-AR-10001683,5,Не понравился,2026-02-06
86,OFF-PA-10000249,5,Рекомендую,2026-02-05
87,FUR-FU-10003664,3,Отличный товар,2026-03-03
88,OFF-EN-10002986,4,Плохой,2026-02-04
89,FUR-BO-10002545,2,Отличный товар,2026-01-31
90,FUR-BO-10002545,4,Плохой,2026-02-13
91,FUR-BO-10002545,3,Нормально,2026-02-26
92,FUR-BO-10002545,5,Нормально,2026-01-15
93,FUR-BO-10002545,2,Плохой,2026-01-31
94,FUR-CH-10004218,2,Ужасный,2026-01-25
95,FUR-CH-10004218,5,Нормально,2026-01-24
96,FUR-CH-10004218,2,Рекомендую,2026-02-06
97,TEC-PH-10000486,2,Отличный товар,2026-01-25
98,TEC-PH-10000486,4,Ужасный,2026-03-04
99,TEC-PH-10000486,3,Рекомендую,2026-02-04
100,TEC-PH-10000486,1,Плохой,2026-01-11
101,TEC-PH-10000486,2,Рекомендую,2026-01-15
102,TEC-PH-10004093,1,Отличный товар,2026-02-03
103,TEC-PH-10004093,1,Плохой,2026-02-17
104,TEC-PH-10004093,1,Хороший,2026-01-23
105,TEC-PH-10004093,3,Нормально,2026-02-05
106,TEC-PH-10004093,2,Плохой,2026-02-09
107,OFF-ST-10003479,1,Нормально,2026-02-13
108,OFF-ST-10003282,1,Плохой,2026-02-27
109,OFF-ST-10003282,5,Ужасный,2026-01-12
110,OFF-ST-10003282,2,Хороший,2026-01-08
111,OFF-BI-10003291,5,Плохой,2026-03-09
112,OFF-BI-10003291,2,Хороший,2026-01-14
113,OFF-BI-10003291,2,Рекомендую,2026-02-08
114,OFF-ST-10001713,3,Плохой,2026-02-18
115,TEC-PH-10003988,2,Ужасный,2026-01-12
116,TEC-PH-10003988,5,Плохой,2026-03-03
117,TEC-PH-10003988,2,Ужасный,2026-01-27
118,TEC-PH-10003988,5,Нормально,2026-02-05
119,OFF-LA-10002762,5,Нормально,2026-02-05
120,OFF-LA-10002762,2,Рекомендую,2026-03-01
121,OFF-LA-10002762,4,Не понравился,2026-03-08
122,OFF-LA-10002762,1,Хороший,2026-01-09
123,FUR-FU-10001706,4,Отличный товар,2026-02-12
124,FUR-CH-10003061,3,Хороший,2026-01-31
125,FUR-CH-10003061,1,Нормально,2026-01-30
126,FUR-CH-10003061,4,Отличный товар,2026-01-31
127,FUR-CH-10003061,1,Хороший,2026-02-19
128,FUR-CH-10003061,3,Рекомендую,2026-02-27
